Name,BioProject,BioSample,SRA,Assembly,Collection
MMMOSAM:2bf3b07d-4f2e-4ddb-af88-f0d93c05d6d9,PRJNA604975,SAMN18262933,SRR13991583,NA,Oxford
MMMOSAM:2bcdf6bf-8da7-4ea6-aa43-5e4fe899f1e3,PRJNA604975,SAMN18262934,SRR13991584,NA,Oxford
MMMOSAM:2bb55f31-9780-4851-9ea1-437573f97e6b,PRJNA604975,SAMN18262936,SRR13991585,NA,Oxford
MMMOSAM:e25deeb5-d69c-4226-9c57-3deb5c085260,PRJNA604975,SAMN18254186,SRR13991586,NA,Oxford
MMMOSAM:e232ee8a-1ec4-438b-92aa-4470e782605d,PRJNA604975,SAMN18254189,SRR13991587,NA,Oxford
MMMOSAM:e21292b4-6e21-411e-be42-f6866be27fb9,PRJNA604975,SAMN18254191,SRR13991588,NA,Oxford
MMMOSAM:e1d2aec7-eb12-4798-88fe-186c289d1c46,PRJNA604975,SAMN18254193,SRR13991589,NA,Oxford
MMMOSAM:e1c80e7d-78e1-441b-aee1-b909bbf27de6,PRJNA604975,SAMN18254194,SRR13991590,NA,Oxford
MMMOSAM:e1c2e7b6-3541-4d36-b734-e36bb6693096,PRJNA604975,SAMN18254195,SRR13991591,NA,Oxford
MMMOSAM:e182c9f1-a447-4e4d-bd1b-2eac2b09329a,PRJNA604975,SAMN18254196,SRR13991592,NA,Oxford
MMMOSAM:e15a6e1e-e91f-4976-9180-17663d93fc1e,PRJNA604975,SAMN18254199,SRR13991593,NA,Oxford
MMMOSAM:e136148f-291a-450c-88b9-eb1aaab13279,PRJNA604975,SAMN18254201,SRR13991594,NA,Oxford
MMMOSAM:e0f33353-20f1-4754-a6df-971bc6d4d7bd,PRJNA604975,SAMN18254204,SRR13991595,NA,Oxford
MMMOSAM:e0c4d46f-c036-400c-b38d-6260b3ebb659,PRJNA604975,SAMN18254205,SRR13991596,NA,Oxford
MMMOSAM:e091628b-9c36-47c2-9a8b-41e3f9f78dac,PRJNA604975,SAMN18254206,SRR13991597,NA,Oxford
MMMOSAM:e05ea781-9257-4f57-a362-13693a57757c,PRJNA604975,SAMN18254209,SRR13991598,NA,Oxford
MMMOSAM:e01f9158-1a2d-40c3-a9da-d822008943d9,PRJNA604975,SAMN18254210,SRR13991599,NA,Oxford
MMMOSAM:e0175aa0-d085-4a5c-94fd-7ff076f863a4,PRJNA604975,SAMN18254211,SRR13991600,NA,Oxford
MMMOSAM:df9395a0-fede-4dbe-a378-ad8bd532db84,PRJNA604975,SAMN18254213,SRR13991601,NA,Oxford
MMMOSAM:df3f5a3f-f2a2-4bdf-a343-5fce2a4d4b12,PRJNA604975,SAMN18254215,SRR13991602,NA,Oxford
MMMOSAM:dee219b8-85ba-456e-a9c9-6c483be6b3c5,PRJNA604975,SAMN18254218,SRR13991603,NA,Oxford
MMMOSAM:dee20a68-3d69-446f-b691-ef72a38a43bd,PRJNA604975,SAMN18254219,SRR13991604,NA,Oxford
MMMOSAM:decca140-fcc8-42fc-b06f-93267467e944,PRJNA604975,SAMN18254220,SRR13991605,NA,Oxford
MMMOSAM:de62bbb1-98ac-46eb-9b09-4f217dbcd7bc,PRJNA604975,SAMN18254223,SRR13991606,NA,Oxford
MMMOSAM:de545c81-eb66-4e73-bac9-12ea48d1ceca,PRJNA604975,SAMN18254225,SRR13991607,NA,Oxford
MMMOSAM:de1219e4-b480-4ef1-836d-5e1f1360247b,PRJNA604975,SAMN18254228,SRR13991608,NA,Oxford
