Name,BioProject,BioSample,SRA,Assembly,Collection
H1-001-0073-Z-M,PRJEB35745,SAMEA6377931,NA,GCA_902707235.2,French
H1-001-0074-B-K,PRJEB35745,SAMEA6377932,NA,GCA_902707105.1,French
H1-001-0075-N-A,PRJEB35745,SAMEA6377933,NA,GCA_902707205.2,French
H1-001-0076-M-P,PRJEB35745,SAMEA6377934,NA,GCA_902707195.2,French
H1-001-0077-B-V,PRJEB35745,SAMEA6377935,NA,GCA_902707135.1,French
H1-001-0078-O-P,PRJEB35745,SAMEA6377936,NA,GCA_902707285.1,French
H1-001-0079-V-O,PRJEB35745,SAMEA6377937,NA,GCA_902707115.2,French
H1-001-0080-B-A,PRJEB35745,SAMEA6377938,NA,GCA_902707485.2,French
H1-001-0081-L-J,PRJEB35745,SAMEA6377939,NA,GCA_902707345.2,French
H1-001-0082-P-K,PRJEB35745,SAMEA6377940,NA,GCA_902707305.2,French
H1-001-0083-D-D,PRJEB35745,SAMEA6377941,NA,GCA_902707335.2,French
H1-001-0084-A-S,PRJEB35745,SAMEA6377942,NA,GCA_902707455.2,French
H1-001-0085-F-D,PRJEB35745,SAMEA6377943,NA,GCA_902707445.2,French
H1-001-0086-B-F,PRJEB35745,SAMEA6377944,NA,GCA_902707415.2,French
H1-001-0087-M-C,PRJEB35745,SAMEA6377945,NA,GCA_902707465.2,French
H1-001-0088-K-O,PRJEB35745,SAMEA6377946,NA,GCA_902707425.2,French
H1-001-0089-F-A,PRJEB35745,SAMEA6377947,NA,GCA_902707365.1,French
H1-001-0090-C-J,PRJEB35745,SAMEA6377948,NA,GCA_902707405.1,French
H1-001-0091-R-G,PRJEB35745,SAMEA6377949,NA,GCA_902707475.2,French
H1-001-0092-L-F,PRJEB35745,SAMEA6377950,NA,GCA_902707355.2,French
H1-001-0093-R-A,PRJEB35745,SAMEA6377951,NA,GCA_902707375.2,French
H1-001-0094-C-D,PRJEB35745,SAMEA6377952,NA,GCA_902707325.2,French
H1-001-0095-N-K,PRJEB35745,SAMEA6377953,NA,GCA_902707385.2,French
H1-001-0096-B-O,PRJEB35745,SAMEA6377954,NA,GCA_902707495.2,French
H1-001-0097-B-F,PRJEB35745,SAMEA6377955,NA,GCA_902707395.2,French
H1-001-0098-B-K,PRJEB35745,SAMEA6377956,NA,GCA_902707315.2,French
H1-001-0099-L-B,PRJEB35745,SAMEA6377957,NA,GCA_902707435.2,French
H1-001-0100-H-O,PRJEB35745,SAMEA6377958,NA,GCA_902707515.2,French
H1-001-0101-D-A,PRJEB35745,SAMEA6377959,NA,GCA_902707505.2,French
H1-001-0102-V-J,PRJEB35745,SAMEA6377960,NA,GCA_902707645.2,French
H1-001-0103-G-B,PRJEB35745,SAMEA6377961,NA,GCA_902707695.1,French
H1-001-0104-J-J,PRJEB35745,SAMEA6377962,NA,GCA_902707685.2,French
H1-001-0105-C-P,PRJEB35745,SAMEA6377963,NA,GCA_902707595.2,French
H1-001-0106-C-J,PRJEB35745,SAMEA6377964,NA,GCA_902707525.2,French
H1-001-0107-L-E,PRJEB35745,SAMEA6377965,NA,GCA_902707655.2,French
H1-001-0108-S-J,PRJEB35745,SAMEA6377966,NA,GCA_902707565.2,French
H1-001-0109-S-B,PRJEB35745,SAMEA6377967,NA,GCA_902707555.1,French
H1-001-0110-D-F,PRJEB35745,SAMEA6377968,NA,GCA_902707705.1,French
H1-001-0111-B-J,PRJEB35745,SAMEA6377969,NA,GCA_902707575.2,French
H1-001-0112-D-M,PRJEB35745,SAMEA6377970,NA,GCA_902707605.2,French
H1-001-0113-J-D,PRJEB35745,SAMEA6377971,NA,GCA_902707635.2,French
H1-001-0114-R-S,PRJEB35745,SAMEA6377972,NA,GCA_902707545.2,French
H1-001-0115-L-J,PRJEB35745,SAMEA6377973,NA,GCA_902707535.2,French
H1-001-0116-H-M,PRJEB35745,SAMEA6377974,NA,GCA_902707615.2,French
H1-001-0117-D-M,PRJEB35745,SAMEA6377975,NA,GCA_902707625.2,French
H1-001-0118-F-M,PRJEB35745,SAMEA6377976,NA,GCA_902707675.2,French
H1-001-0119-F-Z,PRJEB35745,SAMEA6377977,NA,GCA_902707715.2,French
H1-001-0120-M-A,PRJEB35745,SAMEA6377978,NA,GCA_902707665.2,French
H1-001-0121-Q-J,PRJEB35745,SAMEA6377979,NA,GCA_902707585.2,French
H1-001-0122-S-J,PRJEB35745,SAMEA6377980,NA,GCA_902707795.2,French
H1-001-0123-M-L,PRJEB35745,SAMEA6377981,NA,GCA_902707865.2,French
H1-001-0124-C-A,PRJEB35745,SAMEA6377982,NA,GCA_902707745.2,French
H1-001-0125-B-M,PRJEB35745,SAMEA6377983,NA,GCA_902707885.2,French
H1-001-0126-S-B,PRJEB35745,SAMEA6377984,NA,GCA_902707785.2,French
H1-001-0127-P-J,PRJEB35745,SAMEA6377985,NA,GCA_902707825.2,French
H1-001-0128-B-A,PRJEB35745,SAMEA6377986,NA,GCA_902707875.2,French
H1-001-0129-R-J,PRJEB35745,SAMEA6377987,NA,GCA_902707765.2,French
H1-001-0130-N-D,PRJEB35745,SAMEA6377988,NA,GCA_902707895.2,French
H1-001-0131-C-A,PRJEB35745,SAMEA6377989,NA,GCA_902707835.2,French
H1-001-0132-J-F,PRJEB35745,SAMEA6377990,NA,GCA_902707855.2,French
H1-001-0133-V-M,PRJEB35745,SAMEA6377991,NA,GCA_902707805.2,French
H1-001-0134-C-D,PRJEB35745,SAMEA6377992,NA,GCA_902707725.2,French
H1-001-0135-L-E,PRJEB35745,SAMEA6377993,NA,GCA_902707735.2,French
H1-001-0136-C-S,PRJEB35745,SAMEA6377994,NA,GCA_902707755.2,French
H1-001-0137-D-L,PRJEB35745,SAMEA6377995,NA,GCA_902707845.2,French
H1-001-0138-N-F,PRJEB35745,SAMEA6377996,NA,GCA_902707775.2,French
H1-001-0139-M-B,PRJEB35745,SAMEA6377997,NA,GCA_902707815.1,French
H1-001-0140-M-O,PRJEB35745,SAMEA6377998,NA,GCA_902707905.1,French
H1-001-0141-G-Y,PRJEB35745,SAMEA6377999,NA,GCA_902707915.2,French
H1-001-0142-L-C,PRJEB35745,SAMEA6378000,NA,GCA_902707945.2,French
H1-001-0143-B-M,PRJEB35745,SAMEA6378001,NA,GCA_902707955.2,French
H1-001-0145-J-P,PRJEB35745,SAMEA6378002,NA,GCA_902707965.2,French
H1-001-0146-V-D,PRJEB35745,SAMEA6378003,NA,GCA_902707935.2,French
H1-001-0147-D-A,PRJEB35745,SAMEA6378004,NA,GCA_902707975.1,French
H1-001-0148-Y-J,PRJEB35745,SAMEA6378005,NA,GCA_902707925.2,French
H1-001-0149-B-A,PRJEB35745,SAMEA6378006,NA,GCA_902708045.2,French
H1-001-0150-D-P,PRJEB35745,SAMEA6378007,NA,GCA_902708005.1,French
H1-001-0151-L-P,PRJEB35745,SAMEA6378008,NA,GCA_902708025.2,French
H1-001-0152-D-D,PRJEB35745,SAMEA6378009,NA,GCA_902708035.2,French
H1-001-0153-G-B,PRJEB35745,SAMEA6378010,NA,GCA_902708015.2,French
H1-001-0154-T-K,PRJEB35745,SAMEA6378011,NA,GCA_902707995.2,French
H1-001-0155-M-I,PRJEB35745,SAMEA6378012,NA,GCA_902707985.2,French
H1-001-0156-V-R,PRJEB35745,SAMEA6378013,NA,GCA_902708155.2,French
H1-001-0157-P-A,PRJEB35745,SAMEA6378014,NA,GCA_902708125.2,French
H1-002-0001-M-C,PRJEB35745,SAMEA6378015,NA,GCA_902708075.2,French
H1-002-0002-B-M,PRJEB35745,SAMEA6378016,NA,GCA_902708105.2,French
H1-002-0003-L-L,PRJEB35745,SAMEA6378017,NA,GCA_902708165.2,French
H1-002-0004-T-A,PRJEB35745,SAMEA6378018,NA,GCA_902708065.2,French
H1-002-0005-B-J,PRJEB35745,SAMEA6378019,NA,GCA_902708115.2,French
H1-002-0006-F-J,PRJEB35745,SAMEA6378020,NA,GCA_902708175.2,French
H1-002-0007-M-M,PRJEB35745,SAMEA6378021,NA,GCA_902708135.2,French
H1-002-0008-D-F,PRJEB35745,SAMEA6378022,NA,GCA_902708095.2,French
H1-002-0009-P-A,PRJEB35745,SAMEA6378023,NA,GCA_902708215.2,French
H1-002-0010-M-M,PRJEB35745,SAMEA6378024,NA,GCA_902708085.2,French
