tsne1D,tsne2D,Standard_Cluster,Membership_Probability,Sample_Name
-14.2289593680438,-23.451522316220462,10.0,1.0,AP024132.2
26.3433377494476,-19.82182178790838,1.0,0.4136765788278227,AP024472.1
32.96515535648723,-14.391764776539123,1.0,0.5082951331992349,AP024474.1
32.966286563766445,-14.392966920672945,1.0,0.5084888107271734,AP024476.1
-34.325794408010815,7.7286842395255295,3.0,1.0,AP024584.1
-20.58712550264633,24.199942253557424,4.0,0.5224533294488879,AP024696.1
-13.51952630970839,24.951271782174903,4.0,1.0,AP026477.1
-14.47210644887984,25.477267331482853,4.0,1.0,AP026480.1
-13.966013529454148,-20.296236306059566,10.0,0.6523037211962178,AP026515.1
-13.45176078433239,24.084288112531972,4.0,1.0,AP026519.1
22.866392592550042,22.99215101884617,7.0,0.5937252859219225,AP026521.1
25.263241756282625,-14.03835567086929,1.0,0.39934424551708375,AP026740.1
25.267191748816607,-14.039072151769238,1.0,0.3994348033634013,AP026743.1
7.533375855174783,-5.600932054949242,-1.0,0.0,AP026747.1
25.271717761606606,-14.040124351189004,1.0,0.3995553854181269,AP026748.1
25.26290370956348,-14.03408317336406,1.0,0.39902723475772434,AP026752.1
0.27652215853614026,-8.968944453533005,13.0,0.9399489402677195,AP026753.1
25.263353210054216,-14.032773121812657,1.0,0.39893543565053274,AP026756.1
25.262521213882323,-14.03418137798701,1.0,0.3990307692398728,AP026760.1
25.26317428962131,-14.035598684247706,1.0,0.3991410718693195,AP026762.1
-17.35219491454919,23.40155737880773,4.0,0.6647651578858703,AP027447.1
-16.09458368606219,-18.954116101788717,10.0,0.6910666769503903,AP028811.1
16.720079857201103,-9.647334335170019,-1.0,0.0,AP028812.1
-23.14540172041585,-15.193218806275032,-1.0,0.0,AP028817.1
16.709597223144613,-9.637888597171646,-1.0,0.0,AP028819.1
-23.14365729580476,-15.191410751422861,-1.0,0.0,AP028824.1
16.70800472063401,-9.641772449028295,-1.0,0.0,AP028825.1
-23.143650023274386,-15.191417086045627,-1.0,0.0,AP028828.1
16.711070142816865,-9.637193697558155,-1.0,0.0,AP028830.1
-23.143600675004127,-15.191314592059076,-1.0,0.0,AP028833.1
16.7109730121204,-9.637335304401702,-1.0,0.0,AP028835.1
-23.142408467865877,-15.193548617041516,-1.0,0.0,AP028838.1
16.71016321160165,-9.637484541182959,-1.0,0.0,AP028840.1
-23.143931612074095,-15.192347191845853,-1.0,0.0,AP028843.1
16.710440963151797,-9.638647202874512,-1.0,0.0,AP028845.1
-23.14365436686471,-15.191417380718212,-1.0,0.0,AP028848.1
16.711272355421347,-9.637287391060653,-1.0,0.0,AP028850.1
-23.14381818481299,-15.191278598533945,-1.0,0.0,AP028854.1
16.710526627056446,-9.636840987265987,-1.0,0.0,AP028856.1
-23.143654643018593,-15.191421545884525,-1.0,0.0,AP028859.1
16.711257707905222,-9.637292197597391,-1.0,0.0,AP028861.1
-4.380283135317285,28.118708317047734,-1.0,0.0,AP028871.1
15.647705047996626,13.25736477904426,-1.0,0.0,CP006001.1
4.4785502259877505,9.324317109596324,9.0,0.9219393857793363,CP006002.1
5.292639117532391,34.01853064453157,6.0,1.0,CP007150.1
-13.161311618927993,-22.397660032652013,10.0,1.0,CP012113.1
24.385817276210126,-7.625278266033519,-1.0,0.0,CP012495.1
1.9649360479652258,9.386568259863834,-1.0,0.0,CP012496.1
0.15378888275701919,22.108948249925007,5.0,1.0,CP013836.1
12.064534436391385,9.276896488887699,9.0,1.0,CP014200.1
4.283689983767395,33.391226543942864,6.0,1.0,CP014493.1
21.069635792459646,-14.170815003737665,-1.0,0.0,CP014753.1
26.76534794512045,16.35206315485325,-1.0,0.0,CP018958.1
-20.616667143259306,17.988188824219492,4.0,0.5736054504203155,CP018960.1
-23.882623408006136,-25.6017374624658,-1.0,0.0,CP022610.1
14.282392743103246,13.634436124636228,-1.0,0.0,CP024249.1
12.032793051034469,6.941623230662919,9.0,1.0,CP024250.1
9.364498974701354,14.81346020161405,-1.0,0.0,CP025891.1
10.970250215489115,10.512156821113512,9.0,1.0,CP025968.1
0.4468299707949146,11.619867479604908,-1.0,0.0,CP025975.1
0.44679393061404227,11.620645231135244,-1.0,0.0,CP025978.1
